                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.0183,                0.86881,                  1.203,                0.72126,                0.77383,                0.82569,                0.61626,                    nan,                    nan,                    nan,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.0192,                0.86104,                 1.2055,                0.77561,                0.75832,                0.84663,                0.62727,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     39,                 1.0147,                0.85939,                 1.2014,                 0.7823,                0.74457,                0.82748,                0.60494,                    nan,                    nan,                    nan,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.0015,                0.84733,                 1.1953,                 0.7396,                0.77226,                0.81658,                0.60266,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     41,                 1.0082,                0.84487,                 1.1932,                0.74638,                0.75605,                0.82165,                 0.6027,                    nan,                    nan,                    nan,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.0031,                0.83508,                 1.1944,                0.70232,                 0.8036,                0.80426,                0.59589,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     43,                0.99933,                0.83095,                 1.1915,                0.76497,                0.76088,                0.81907,                0.61264,                    nan,                    nan,                    nan,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.0027,                0.83394,                 1.1947,                0.69913,                0.79025,                0.81691,                0.61213,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     45,                0.98912,                0.82242,                 1.1869,                0.77166,                0.78436,                0.83942,                0.62291,                    nan,                    nan,                    nan,              0.0078715,              0.0078715,              0.0078715
                     46,                0.99473,                0.82609,                 1.1913,                0.74794,                0.80694,                0.82012,                0.60659,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                     47,                 0.9892,                0.81669,                 1.1815,                0.76025,                 0.7754,                0.78555,                0.57282,                    nan,                    nan,                    nan,              0.0077725,              0.0077725,              0.0077725
                     48,                0.98895,                0.81256,                 1.1815,                0.78106,                0.78378,                  0.837,                0.61949,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
